vm-id,vm-name,value/power_state,value/cpu_count,value/memory_size_MiB,DatacenterID,Project,JobCode,Aplication
vm-4416,HQ-ExpatW,POWERED_ON,4,16384,6,asset_digital_opex,901484000227,HQ-ExpatW
vm-4476,pds-opexdb-p01,POWERED_ON,2,8192,6,asset_digital_opex,901484000227,pds-opexdb-p01
vm-4477,pds-opexwb-p01,POWERED_ON,2,8192,6,asset_digital_opex,901484000227,pds-opexwb-p01
vm-7623,pds-5mweb-t01,POWERED_ON,8,8192,6,ASSET-DIGITAL OPEX,901484000227,pds-5mweb-t01
vm-7624,pds-5mdb-t01,POWERED_ON,8,8192,6,ASSET-DIGITAL OPEX,901484000227,pds-5mdb-t01
vm-7625,pds-5mdb-p01,POWERED_ON,8,8192,6,ASSET-DIGITAL OPEX,901484000227,pds-5mdb-p01
vm-7626,pds-5mweb-p01,POWERED_ON,8,8192,6,ASSET-DIGITAL OPEX,901484000227,pds-5mweb-p01
vm-7627,TBKC-DAPPS-06,POWERED_ON,4,8192,6,ASSET-DIGITAL OPEX,901484000227,TBKC-DAPPS-06
vm-2117,pds-blockc-p01,POWERED_ON,4,16384,6,Blockchain,901482000111,pds-blockc-p01
vm-1138,pds-price-t01,POWERED_OFF,2,4096,6,Cloud Check Price,901485000591,pds-price-t01
vm-1920,pds-cloudsvc-p1,POWERED_ON,2,4096,6,Cloud Services Server,555555555555,pds-cloudsvc-p1
vm-2970,pds-dessweb-t01,POWERED_ON,2,8192,6,D ESS,901484000241,pds-dessweb-t01
vm-2971,pds-dessdb-t01,POWERED_ON,2,8192,6,D ESS,901484000241,pds-dessdb-t01
vm-1430,pds-dxc-dat-p01,POWERED_ON,2,8192,6,d_claim,901484000209,pds-dxc-dat-p01
vm-1431,pds-dxc-app-p01,POWERED_ON,2,16384,6,d_claim,901484000209,pds-dxc-app-p01
vm-3205,pds-dhpydb-p01,POWERED_ON,2,8192,6,d_happy,901484000242,pds-dhpydb-p01
vm-3206,pds-dhpyweb-p01,POWERED_ON,2,8192,6,d_happy,901484000242,pds-dhpyweb-p01
vm-1048,pds-digital-d-meeting-fte-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000189,pds-digital-d-meeting-fte-q-01
vm-1046,pds-digital-d-meeting-db-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-digital-d-meeting-db-q-01
vm-1047,pds-digital-d-meeting-app-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-digital-d-meeting-app-q-01
vm-1049,pds-ppbot-db-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-ppbot-db-q-01
vm-1050,pds-ppbot-app-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-ppbot-app-q-01
vm-1051,pds-ppbot-fte-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-ppbot-fte-q-01
vm-10528,HQ-CRPSFX-NM01,POWERED_ON,4,20480,6,d_meeting_chatbot,901484000207,HQ-CRPSFX-NM01
vm-1056,pds-digital-d-meeting-db-p-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-digital-d-meeting-db-p-01
vm-1057,pds-digital-d-meeting-app-p-01,POWERED_ON,1,4096,6,d_meeting_chatbot,901484000207,pds-digital-d-meeting-app-p-01
vm-1058,pds-digital-d-meeting-fte-p-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-digital-d-meeting-fte-p-01
vm-1059,pds-ppbot-db-p-01,POWERED_ON,16,65536,6,d_meeting_chatbot,901484000207,pds-ppbot-db-p-01
vm-106,grp-ocum-p01,POWERED_ON,8,12288,6,d_meeting_chatbot,901484000207,grp-ocum-p01
vm-1060,pds-ppbot-app-p-01,POWERED_ON,16,65536,6,d_meeting_chatbot,901484000207,pds-ppbot-app-p-01
vm-1061,pds-ppbot-fte-p-01,POWERED_ON,16,65536,6,d_meeting_chatbot,901484000207,pds-ppbot-fte-p-01
vm-1088,pds-ppbot-loadtest-q-01,POWERED_ON,4,16384,6,d_meeting_chatbot,901484000207,pds-ppbot-loadtest-q-01
vm-6116,pds-dmsrvdb-u01,POWERED_ON,8,32768,6,d_mservice,901484000230,pds-dmsrvdb-u01
vm-6197,pds-dmdb-t01,POWERED_ON,2,8192,6,d_mservice,901484000230,pds-dmdb-t01
vm-6623,pds-dmsrvdb-p01,POWERED_ON,2,8192,6,d_mservice,901484000230,pds-dmsrvdb-p01
vm-61182,grp-rvinven-p01,POWERED_ON,2,4096,6,d_mservice_uat,901484000230,grp-rvinven-p01
vm-6625,Test-eJSADB,POWERED_ON,2,4096,6,d_mservice_uat,901484000230,Test-eJSADB
vm-1507,pds-devent-db-t01,POWERED_ON,4,16384,6,DEvent,901484000194,pds-devent-db-t01
vm-1508,pds-devent-web-t01,POWERED_ON,4,16384,6,DEvent,901484000194,pds-devent-web-t01
vm-1835,pds-iotapp-t01,POWERED_ON,8,32768,6,IOT Platform,901484000196,pds-iotapp-t01
